"Data","Open","Close","High","Low","log_return"
"2021-01-06",8.6054160594,8.5797367675,8.8165569044,8.5740302581,0.000998170106269042
"2021-01-07",8.6567746433,8.845089451,8.8878882709,8.6567746433,0.0304592074812119
"2021-01-08",8.9763391654,8.8793285069,9.0619368053,8.659627898,0.00386349482061247
"2021-01-11",8.7338125192,8.8051438857,8.862208979,8.6738941713,-0.00838985237499364
"2021-01-12",8.8793285069,8.7395190285,9.004871712,8.7395190285,-0.00748092608840655
"2021-01-13",8.7537853018,8.3172373386,8.8051438857,8.2744385187,-0.0495250080460511
"2021-01-14",8.3229438479,8.4028349784,8.465606581,8.1945473881,0.0102389972953377
"2021-01-15",8.288704792,8.0233521084,8.2972645559,7.9976728165,-0.0462128431560965
"2021-01-18",8.077563947,8.0090858351,8.2316396987,7.9919663072,-0.00177967656767827
"2021-01-19",8.1260692763,8.1859876242,8.2344929534,7.8863958847,0.0218472396293828
"2021-01-20",8.2601722454,8.0490314004,8.3086775746,8.0204988538,-0.0168721049845908
"2021-01-21",7.9948195618,7.8607165927,8.103243239,7.8493035741,-0.023673989419279
"2021-01-22",7.6838148037,7.7294668783,7.7722656982,7.5782443812,-0.0168378794975901
"2021-01-26",7.7751189529,7.7037875863,7.9805532885,7.6524290024,-0.00332779009858283
"2021-01-27",7.6495757478,7.8122112635,8.0376183818,7.5696846173,0.0139759538635878
"2021-01-28",7.7950917355,7.9206349406,8.1175095123,7.7922384809,0.0137833157730811
"2021-01-29",7.8521568287,7.6153366918,7.8978089033,7.6153366918,-0.0393071722233348
"2021-02-01",7.7779722076,7.8550100834,7.8978089033,7.6552822571,0.030987355741384
"2021-02-02",8.103243239,8.1774278602,8.3143840839,8.0461781457,0.0402261032502273
"2021-02-03",8.2687320093,8.2316396987,8.3143840839,8.1774278602,0.00660757054548676
"2021-02-04",8.2259331894,8.2230799348,8.271585264,8.0490314004,-0.00104040237242229
"2021-02-05",8.2687320093,8.280145028,8.5854432768,8.0804172017,0.00691565688074336
